Profile Pit No.,FAO Classification,Local Name/Series,Longitude,Latitude,Horizon,Top-Depth,Bottom Depth,Moist Color,Dry Color,Org. Carbon,Total N,CACO3,GYPSUM,PHH2O,PHKCL,PH CaCl2,ECE,Exch. Ca,Exch Mg,Exch. Na,Exch. K,Exch Al,Exch. Acid,CEC Soil,Sand,Silt,Clay,Textual Class,GRAVEL,BULKDENS
1,Gleyic Arenosol,Wet Litongo,23.26667,-15.48333,Ah1,0,10,N2/,10YR3/1,36,2,,,,,4.2,,0.2,,,,,,12.6,83,12,5,Loamy Sand,,
1,Gleyic Arenosol,Wet Litongo,23.26667,-15.48333,Ah2,10,28,N2/,10YR3/1,30,1.4,,,,,4.2,,0.2,0.1,,,,,10,84,11,5,Loamy Sand,,
1,Gleyic Arenosol,Wet Litongo,23.26667,-15.48333,AC,28,46,10YR4/2,10YR6/2,7,0.1,,,,,4.4,,,0.1,,,,,0.6,83,12,5,Loamy Sand,,
1,Gleyic Arenosol,Wet Litongo,23.26667,-15.48333,C1,46,72,10YR6/2,,7,0.1,,,,,4.5,,0.1,0.1,,,,,0.4,85,10,5,Loamy Sand,,
1,Gleyic Arenosol,Wet Litongo,23.26667,-15.48333,C2,72,100,10YR5/3,,,,,,,,4.5,,0.3,,,,,,0.4,85,10,5,Loamy Sand,,
1,Gleyic Arenosol,Wet Litongo,23.26667,-15.48333,C3,100,135,10YR5/2,,,,,,,,4.7,,0.2,,,,,,0.4,85,10,5,Loamy Sand,,
2,Eutric Cambisol,,31.88333,-13.15,Ah1,0,16,10YR2/2,,23,1.1,,,,,5.8,,4,0.9,0.1,0.4,,,5.8,74,11,15,Sandy Loam,,
2,Eutric Cambisol,,31.88333,-13.15,Ah2,16,33,10YR3/2,,12,0.6,,,,,5.5,,7.6,3.6,0.1,0.3,,,13.8,74,7,19,Sandy Loam,,
2,Eutric Cambisol,,31.88333,-13.15,Ah3,33,54,10YR3/2,,7,0.4,,,,,5.3,,6,2.8,0.1,0.2,,,11.6,75,6,19,Sandy Loam,,
2,Eutric Cambisol,,31.88333,-13.15,Bw1,54,88,7.5YR3/2,,,,,,,,5.4,,5.6,3.1,0.1,0.3,,,11.6,68,7,25,Sandy Clay Loam,,
